id,code,title,lecture_hours,lab_hours,credits,department_id,type,description,prerequisites
11,SWE 322,Principles of Concurrent Software Systems,3,0,3,22,Undergraduate,"Study of issues related to the development of concurrent software systems. Topics include the basics of synchronization and coordination techniques, concurrent programming languages and constructs and the specification, design, verification, and validation of concurrent programs. Students are required to solve concurrent programming problems and to check their solutions by using verification, testing, and debugging tools.",
12,SWE 326,Software Testing,3,0,3,22,Undergraduate,Practical ways to design high quality tests during all phases of software development. Test Planning. Test design. Test coverage criteria. Test automation. Concept of static analysis. Reviews. Walkthroughs. Inspections.,
13,SWE 344,Internet Protocols and Client-Server Programming,2,3,3,22,Undergraduate,"Principles of Internet work architecture and communication protocols. Open systems and interoperability. Wide area connectivity through interconnection of autonomous networks. Case studies of particular protocols from network layer and above. Selected examples of networked client-server applications such as e-mail, news, file-transfer, HTTP. Socket programming. Programming Project(s).",
14,SWE 363,Web Engineering & Development,3,0,3,22,Undergraduate,Fundamentals of web and mobile applications and how they impact people's lives; Building responsive front-end web and mobile apps; Back-end programming of dynamic and data-driven websites; Development frameworks for web and mobile apps; Security issues of web applications; Practical applications to real-world problems.,
15,SWE 387,Software Project Management,3,0,3,22,Undergraduate,"Introduction to project management concepts, managing time, cost, change, risk, quality, communication and people; development and management standards and managing software development projects.",
16,SWE 399,Summer Training,0,0,1,22,Undergraduate,"A summer period of 8 weeks spent as a trainee in industry, business, or government agencies for the purpose of familiarizing the student with the real job world and enabling him to apply and relate his academic knowledge to a real work environment. The student is required to participate in software engineering related activities and use his time to get acquainted with the software engineering related functions and resources used by his employing organization. Besides progress reports, the student is required to submit a final report and do a presentation on his experience and the knowledge he gained during his summer training program.",
17,SWE 411,Software Engineering Project I,1,6,3,22,Undergraduate,"This is the first part of a two-semester senior-year capstone project. Student teams employ knowledge gained from courses throughout the program such as development of requirements, design, implementation, and quality assurance to develop a software solution to a real-world problem from conception to completion. In this part, students develop project plan and software requirements specification. Next, students' teams can either develop complete design document or follow agile like methodology to develop design document and implementation for 30% of system features.",
18,SWE 412,Software Engineering Project II,0,6,2,22,Undergraduate,"This is the second part of a two-semester senior-year capstone project. Student teams employ knowledge gained from courses throughout the program to develop a software solution to a real-world problem from conception to completion. In this part, students review and refine documents prepared in SWE 411; finalize design, complete implementation of the application, test their code, and evaluate their final product.",
19,SWE 414,Senior Project II,0,6,3,22,Undergraduate,"This is the second of two courses for the multidisciplinary, capstone project. After the multidisciplinary team was formed and the project and its management were defined and detailed, the students embark on executing their tasks going through the project's software development lifecycle in order to develop the prototype software solution component of the problem at hand. The senior project offers the opportunity to integrate the knowledge acquired in preceding courses, as well as promote and instill communication skills, writing skills, and lifelong self-learning.",
20,SWE 415,Software Testing and Quality Assurance,3,0,3,22,Undergraduate,"Concept of software quality, software metrics, & Total Quality Management. SQA planning & implementation. Validation & verification. Reviews, walkthroughs & inspections. Automatic and manual techniques for generating and validating test data. Static vs. dynamic analysis, functional testing, inspections, and reliability assessment. Students participate in a group project on software validation and verification.",
21,SWE 416,Software Architecture,3,0,3,22,Undergraduate,"Study the concepts, principles, methods, and best practices in software architecture. Different architectural styles, patterns and product lines are presented and compared. Methods to analyze, evaluate and document software architectures are also discussed. Students participate in a group project on software architecture design.",
22,SWE 417,Software Engineering Project I,1,6,3,22,Undergraduate,"This is the first part of a two-semester senior-year capstone project. Student teams employ knowledge gained from courses throughout the program such as development of requirements, design, implementation, and quality assurance to develop a software solution to a real-world problem from conception to completion. In this part students develop project plan, software requirement specification and software design document.",
23,SWE 418,Software Engineering Project II,0,6,2,22,Undergraduate,"This is the second part of a two-semester senior-year capstone project. Student teams employ knowledge gained from courses throughout the program such as development of requirements, design, implementation, and quality assurance to develop a software solution to a real-world problem from conception to completion. In this part, students implement the design they produced in SWE 417, test their code, and evaluate their final product.",
24,SWE 421,Principles of Information Security,3,0,3,22,Undergraduate,"Study of security policies, models, and mechanisms for secrecy, integrity, and availability. Topics include mechanisms for mandatory and discretionary controls; data models, concepts, and mechanisms for database security; basic cryptography and its applications; security in computer networks and distributed systems; and control and prevention of viruses and other rogue programs.",
25,SWE 422,Usability Engineering,3,0,3,22,Undergraduate,"Design, implement and evaluate software system interfaces with focus on usability, interaction paradigms and human computer activities. The lifecycle of an interactive human computer interface is studied from both engineering and end-user perspectives.",
26,SWE 423,Multimedia Systems,3,0,3,22,Undergraduate,Why multimedia systems? Fonts and hypertext. Digital audio. Synthesized audio & MIDI. Audio on the Internet & audio streaming. Speech recognition. Computer graphics and images. Image formats and standards. Color models in images. Image compression. Principles of animation. Digital video. Video compression. Video on the Internet & video streaming. Videoconferencing. Multimedia software tools. Issues in multimedia applications design. Multimedia programming techniques.,
27,SWE 436,Object-Oriented Design Patterns,3,0,3,22,Undergraduate,"A depth study of object-oriented design patterns. How design patterns solve design problems? How to select a design pattern? How to use a design pattern? Detailed study of creational patterns, structural patterns, and behavioral patterns. Case studies.",
28,SWE 439,Software Quality Engineering,3,0,3,22,Undergraduate,"Overview of engineering foundations of software, basics of measurement theory, empirical experimentation in software engineering, software metrics and measuring software quality.",
29,SWE 440,Information Security Management,3,0,3,22,Undergraduate,"Introduction to information security management principles, management of threats to and vulnerabilities of information security, risk management, and to apply the knowledge of people and technical security controls.",
30,SWE 444,Internet and Web Applications Development,3,0,3,22,Undergraduate,"Frameworks for web-application development. Component Architectures. Multi-tier Applications. End-to-end functional building blocks and their use in adaptive and non-adaptive applications, including multimedia: coding, compression, security, and directory services. Database connectivity. Integration of media services into applications.",
31,SWE 445,Secure Software Development,3,0,3,22,Undergraduate,"Security in requirements engineering; Secure designs; Risk analysis; The SQUARE Process Model; Threat modeling; Defensive coding; Software protection; Fuzzing; Static analysis and security assessment; Memory leaks, buffer and heap overflow attacks, injection attacks.",
32,SWE 446,Selected Topics on Emerging Internet Technologies,2,3,3,22,Undergraduate,"Design and implementation of computer models of learning and adaptation in autonomous intelligent agents. E-commerce models and architectures. IP telephony and video conferencing. Designing applications to support user mobility. Emulation of virtual application specific network architectures. Trends and new directions in Internet technologies, protocols, architectures, and applications.",
33,SWE 455,Cloud Applications Engineering,3,0,3,22,Undergraduate,"Cloud computing and service models. Software development for the Cloud. Software architectures: monoliths, service-oriented, microservice, and serverless. Trade-offs between architectural patterns and Cloud services. Development lifecycle for Cloud-native SaaS applications. Design patterns for SaaS applications, Cloud service level agreements, and Cloud infrastructures. Software engineering practices and tools for the Cloud: Agile. CI/CD, DevOps, ArchOps, DataOps, MLOps, and DevSecOps. Business processes to implement cloud solutions, Cloud migration processes, and issues, Case studies.",
34,SWE 463,Mobile Application Development,3,0,3,22,Undergraduate,"Comprehensive introduction to building mobile applications for devices based on Android and iOS operating systems, including use of standard integrated development environment: Android Studio and Xcode, as well as testing and debugging on devices and emulators/simulators. Topics cover programming language for iOS programming, and mobile platform APIs for user interface, graphics, networking, data, and web services.",
35,SWE 469,Software Metrics,3,0,3,22,Undergraduate,"Overview of software metrics, basics of measurement theory, goal-based framework for software measurement, empirical investigation in software engineering. Measuring internal product attributes, measuring external product attributes, measuring cost and effort, measuring software reliability, software test metrics, and object-oriented metrics.",
36,SWE 487,Software Processes and Process Improvements,3,0,3,22,Undergraduate,"Software process models. Software process analysis. Life cycle process models and standards. Process implementation at various levels like organization, project, team, or individual. Measurement and analysis of software process. Process improvements.",
37,SWE 490,Special Topics I,3,0,3,22,Undergraduate,In-depth study of a selected special topic relevant to software engineering.,
38,SWE 491,Special Topics II,3,0,3,22,Undergraduate,In-depth study of a selected special topic relevant to software engineering.,
39,SWE 494,Undergraduate Thesis I,0,0,3,22,Undergraduate,"This course is an independent research course for students undertaking the CX in undergraduate research. An undergraduate thesis is a substantive piece of research-oriented creative work demonstrating mastery over the discourse of one semester in professional field. A thesis requires students to formulate the main hypothesis and research questions, maintain research integrity and be aware of research misconducts, and acquire skills of identifying research gaps in literature. Students will develop their scientific writing skills to report their preliminary research findings in a research proposal. Such proposal must be planned and completed under the supervision of a faculty (advisor) and, at the advisor's discretion and department approval, may be reviewed by an additional co-advisor. Student will have to present to a committee his/her research plan and hypothesis in the thesis proposal.",
40,SWE 496,Undergraduate Thesis II,0,0,3,22,Undergraduate,"This is an independent research course focused on making research contributions and presenting the results in a thesis for students undertaking the CX in undergraduate research. In this course, students will refine their thesis proposal in previous thesis course and work closely with the advisor to demonstrate their research findings over one semester in a professional field. This requires students to ensure the novelty and originality of the idea, conduct extensive research to validate the main hypothesis and research questions, and have the skills needed to write the thesis and prepare the research results for the proper venue for possible publication. Students will learn to develop their professional communication skills to defend their thesis in front of an independent scientific committee and possibly to deliver speech in a research symposia.",
41,SWE 497,Undergraduate Research,3,0,3,22,Undergraduate,"The course introduces students to research. Explains the differences between different publications channels like conferences, journals, books, and book chapters. Introduces students to metrics like impact factor and H-index. Teaches how to search and locate relevant literature on a given research topic. Introduces students to research methodology, experimentation design, and ways to conduct experiments and report the results. It also teaches students on how to prepare a research article.",
42,ACCT 110,Introduction to Financial Accounting,3,0,3,1,Undergraduate,"Provides an introduction to financial accounting, with emphasis on the content, interpretation, and uses of accounting reports according to the International Financial Reporting Standards (IFRS). Develops students' skills underlying the preparation and analysis of financial statements of a business enterprise. Discusses accounting principles as they relate to the recognition of revenues and expenses, and the valuation of assets and liabilities. Ethics in accounting is incorporated in the presentation of financial statements.",
43,ACCT 201,Principles of Accounting I,2,2,3,1,Undergraduate,"Accounting principles and techniques underlying the preparation of the income statement and balance sheet of a business enterprise. An overview of generally accepted accounting principles as they relate to the recognition of revenues and expenses, and the valuation of assets and liabilities. Utilization of basic accounting software packages.",
44,ACCT 202,Principles of Accounting II,2,2,3,1,Undergraduate,"Accounting principles and techniques underlying the financial statements of partnerships and corporations. Accounting for stocks and dividends. Accounting for bond issues. Statement of cash flows. General price level adjusted financial statements. Analysis of financial statements. Cost accounting systems for manufacturing concerns. Cost-volume-profit analysis, responsibility accounting, and budgeting. Cost-revenue analysis for decision making. Utilization of basic accounting software packages.",
45,ACCT 210,Introduction to Managerial Accounting,3,0,3,1,Undergraduate,"Continuation of ACCT 110 with a focus on uses of accounting information for managerial decision making to aid planning and control activities of managers in business enterprises. Topics include methods for determining the costs of products and services, cost behavior analysis, assessing product and project profitability, cost-volume-profit analysis, budgeting, cost control using standard costing and variance analysis.",
46,ACCT 300,Accounting Information Systems,2,2,3,1,Undergraduate,"Provides a broad perspective on concepts and applications of Accounting Information Systems (AIS) which record, control, report transactions, and enhance decision making in organizations. Highlights the concepts and applications related to internal control in manual and computerized accounting systems. Introduces the understanding of Enterprise Resource Planning (ERP) software as it applies to modern AIS at an enterprise level. Topics include: Transaction processing and ERP, databases, control and AIS (COSO, COBIT, and ERM frameworks), systems reliability, auditing computer-based AIS, and control applications in Accounting cycles. Provides hands-on experience with Database Management Systems (DBMS), Spreadsheet programs, Systems documentation tools and ERP software. Cases, class discussion, field trips and group projects emphasize independent thinking, group processes, and communication.",
47,ACCT 301,Intermediate Accounting I,3,0,3,1,Undergraduate,"Emphasizes objectives of financial statements, and their preparation. In-depth study of accounting principles with a concentration on the valuation techniques and procedures underlying the financial statements. Features several conceptual and theoretical issues that face the accounting profession. Accounting for current assets and current liabilities. Accounting for acquisition and disposition of plant assets including depreciation and depletion. Accounting for intangible assets. Study of ethics in accounting. The course also refers to International Accounting Standards (IFRS) and standards issued by the Saudi Organization for Certified Public Accountants (SOCPA).",
48,ACCT 302,Intermediate Accounting II,3,0,3,1,Undergraduate,"Engages students in the study of stockholders' equity including issuance and reacquisition of capital stock, dividends and retained earnings. Topics of coverage also include accounting for short-term and long-term investments in securities, revenue recognition and long-term contracts, study of cash flows, capital leases, and interpretation and analysis of financial statements. Involves use of cases and study of ethics in accounting. And computer applications in financial accounting. The course also refers to International Accounting Standards (IFRS) and standards issued by the Saudi Organization for Certified Public Accountants (SOCPA).",
49,ACCT 303,Computer Control and Audit,3,0,3,1,Undergraduate,"Auditing of computer-based information systems. Audit environment and information systems controls.Theory of internal control and the application of audit procedures in a computerized environment. Techniques for evaluating applications, data integrity, general operations, security, systems software and maintenance.",
50,ACCT 304,International Accounting,3,0,3,1,Undergraduate,Objectives of international accounting. International accounting standards and organizations. Transnational financial reporting and disclosure problems. Accounting information systems and control for multinational operations. Financial planning for multinational operations. Accounting for foreign currency translation and inflation. Multinational taxation and transfer pricing. Consolidated financial statements for multinational operations. International balance of payments accounting. Accounting and Economic Development. Accounting for multinational corporate responsibility.,
51,ACCT 305,Accounting for Governmental & Non-Profit Entities,3,0,3,1,Undergraduate,"Examines accounting concepts and techniques for governmental operations including fund accounting. Topics of coverage also includes financial reporting and disclosure problems of governmental and non-profit organizations, and budgetary control procedures for governmental and non-profit entities such as universities, hospitals, and charities.",
52,ACCT 306,Zakat & Income Tax Accounting,3,0,3,1,Undergraduate,"Fundamentals, rules, and objectives of taxation, Saudi Arabian tax and zakat regulations, assessment of income tax and zakat base, income tax and zakat rates, Department of Zakat and Income Tax procedures and rules, case studies.",
53,ACCT 307,Islamic Financial Jurisprudence,3,0,3,1,Undergraduate,"Teaches fundamentals of commercial law, the Islamic principles of property rights, contracts, capital, types of ownership, sale contracts, commercial papers and bankruptcy. Secured transactions, and concepts of agency, estate, and trust under Islamic Sharia Law are also included in the course coverage.",
54,ACCT 311,Auditing,3,0,3,1,Undergraduate,"Discusses generally accepted auditing standards (GAAS) and procedures used by the external auditor. It presents an integrated concepts approach that shows students the auditing process from start to finish. It students for real-world audit decision making by using illustrative examples of key audit decisions, with an emphasis on audit planning, risk assessment processes and collecting and evaluating evidence in response to risks. Topics include: Professional ethics, Professional responsibility, and legal liability of the external auditor. Audit concepts such as auditor's independence, fair presentation, and due professional care are emphasized. Internal control evaluation and design of audit programs; Collection of audit evidence including statistical sampling and analytical review; Evaluation of audit evidence; arriving at audit opinions. Development of working papers and audit reports. Assurance services. Uses of the computer as an audit tool. Utilization of generalized audit software packages. Information Technology and the audit process.",
55,ACCT 314,Computer Control and Audit,3,0,3,1,Undergraduate,"Focuses on auditing of computer-based information systems. Topics include audit environment and information systems controls, theory of internal control and the application of audit procedures in a computerized environment, and techniques for evaluating applications, data integrity, general operations, security, systems software and maintenance. Provides hands-on use of Computer Assisted Tools & Techniques (CATT) software application.",
56,ACCT 321,Data Analytics for Accounting,3,0,3,1,Undergraduate,Data Analytics in Accounting. Master the Data. Performing the Test Plan and Analyzing the Results. Communicating Results and Visualizations. Audit Data Analytics. Managerial Analytics. Financial Statement Analytics. Tax Analytics.,
57,ACCT 351,Cooperative Work,0,0,6,1,Undergraduate,Twenty-eight weeks of practical training in Accounting or related area in a selected organization. The training program must be approved and the student's progress during his co-op period must be monitored. The student is expected to write a co-op report addressing a business problem related to his coop experience under the supervision of a faculty member in accordance with university regulations.,
58,ACCT 398,Internship,0,0,6,1,Undergraduate,"The Accounting Internship provides the student with the opportunity to gain valuable practical business experience and insights in an organizational environment for a continuous period of 16 weeks to explore career interests while applying knowledge, competency, and skills learned in the classroom. The internship performance and responsibilities are evaluated by a faculty Internship advisor and a work-site supervisor through student's submission of progress reports, employer's feedback, final report, and presentation. Prerequisites: ENGL 214, more than 85 credit hours.",
59,ACCT 399,Summer Training,0,0,1,1,Undergraduate,"The summer training provides the student with the opportunity to gain valuable practical business experience and insights in an organizational environment for a continuous period of 8 weeks to explore career interests and prepare student for the demands of today's job market. The course is designed to expose students to the reality of his professional practice which contributes to their academic and career development. The student is required to write one progress report, a brief final report and make a presentation on their summer training experience and knowledge gained. Prerequisite: more than 65 Cr, ENGL 214, GPA>2",
60,ACCT 401,Cost Accounting,3,0,3,1,Undergraduate,"Cost accounting and control; general principles of designing cost systems; classification of costs and cost behavior patterns; cost estimation. Product costing systems including job order costing, process costing, and joint products costing in manufacturing and service organizations. Service departments cost allocation methodologies. Standard costing systems including disposition of cost variances; cost variance reports and investigation of cost variances. Product costing and performance evaluation in computerized manufacturing systems. Computer applications in cost accounting.",
61,ACCT 402,Managerial Accounting,3,0,3,1,Undergraduate,Behavioral and organizational foundations of managerial accounting. Probabilistic cost-volume-profit analysis.Cost information for short-term and long-term pricing decisions. Comprehensive revenue variance analysis. Balanced scorecard and strategic profitability analysis. Cost of quality and theory of constraints. Responsibility accounting and performance evaluation. Transfer pricing systems. Performance evaluation systems and multinational considerations. Study of ethics in accounting. Computer applications in managerial accounting.,
62,ACCT 403,Advanced Accounting,3,0,3,1,Undergraduate,"Examines some of the more complex albeit common contemporary financial accounting and reporting issues as part of a post-intermediate financial accounting course. The primary topics include accounting for business combinations, investments in common stocks, consolidated financial statements, joint ventures, foreign currency transactions, accounting for derivatives, financial instruments, and share-based payments. The course also alludes to international accounting standards (IFRS) and standards issued by the Saudi Organization for Certified Public Accountants (SOCPA). The subject is designed to provide students, who are majoring in accountancy, with professional, theoretical and practical knowledge that is needed by accountants in understanding and discharging their responsibilities as professional accountants. This includes the legal, professional and ethical requirements.",
63,ACCT 404,Auditing,3,0,3,1,Undergraduate,"Generally accepted auditing standards and procedures used by the external auditor. Professional ethics, professional responsibility, and legal liability of the external auditor. Audit concepts such as auditor?s independence, fair presentation, and due professional care. Internal control evaluation and design of audit programs; collection of audit evidence including statistical sampling and analytical review; evaluation of audit evidence; arriving at audit conclusions. Development of working papers and audit reports. Assurance services. Uses of the computer as an audit tool. Utilization of generalized audit software packages. Information Technology and the audit process.",
64,ACCT 405,Accounting Theory & Research,3,0,3,1,Undergraduate,"The development and structure of accounting theory, principles, and practices applicable to business organizations. Objectives of financial reporting and disclosure. Models of income determination and balance sheet valuations including historical cost, replacement cost, exit values, and discounted cash flows. The pronouncements of professional accounting bodies. Study of contemporary issues in financial accounting.",
65,ACCT 406,Internal Auditing,3,0,3,1,Undergraduate,"Focuses on development and evolution of the internal auditing profession; scope and objectives of internal auditing; standards of professional practice; control concepts; techniques of internal auditing; internal auditing and internal control. Topics of coverage also include the internal audit process; developing and executing the audit plan; reporting and communication of internal audit findings; managing internal audit departments and quality assurance; internal auditor's independence; relationships between internal and external auditors and audit committees; ethics in internal auditing; distinguishing the types of audits, including financial, operational, efficiency, and management audits; risk-based versus compliance audits; and the impact of automation and digitalization in internal auditing.",
66,ACCT 407,Financial Statement Analysis,3,0,3,1,Undergraduate,"Develops basic skills required for a structured analysis of financial statements; forecasting of income and cash flows; pro-forma financial statements; firm valuation using discounted cash flows and discounted residual income methods; comparative valuation analysis, and credit analysis. The course also covers the study of the potential effects of International Financial Reporting Standards (IFRS) financial statement analysis, valuation techniques and outcomes, and Concepts of earnings quality and management of earnings.",
67,ACCT 408,Zakat and Business Tax Accounting,3,0,3,1,Undergraduate,"Provides a study of the fundamentals, rules, and objectives of taxation under Saudi Arabian tax and zakat regulations. Equips students with the skills necessary to compute and assess income tax and zakat base for business entities. In addition, students become familiar with the business income tax and zakat rates, and the General Authority of Zakat and Tax (GAZT) functions.",
68,ACCT 409,International BusinessTaxation,3,0,3,1,Undergraduate,Introduces students to international taxation. Topics of coverage include tax principles and rationale for taxation; corporate income tax; direct and indirect income tax; Value Added Tax (VAT); corporate income tax and zakat in KSA; international taxation. Legal & ethical issues will be considered.,
69,ACCT 410,Cost Accounting,3,0,3,1,Undergraduate,"Emphasizes contemporary topics in strategic cost management through an understanding of the underlying concepts and fundamental techniques involved in cost accounting for manufacturing and service companies. Stresses on how cost management systems, with their performance evaluation and reward systems, encourage efforts to achieve an organization's strategic goals. Topics include activity-based costing; decision making; pricing and profitability analysis; the balanced scorecard and performance management, joint and common cost allocation; cost of quality and continuous improvement; responsibility accounting, performance measurement and reward systems; transfer pricing and capital investment decisions.",
70,ACCT 411,Cost Management & Management Control,3,0,3,1,Undergraduate,"Examines advanced and contemporary issues in cost management and management control with emphasis on industrial and business practices. Topics of coverage includes behavioral and organizational foundations of managerial accounting; strategic cost management; operational efficiency and business process performance; planning, budgeting and forecasting; performance management; responsibility centers and performance measures; decision analysis and risk management; quality and environmental cost management; and cost and management accounting practices. Uses case studies with ethical considerations for managerial accounting.",
71,ACCT 420,Petroleum Accounting,3,0,3,1,Undergraduate,"Accounting practices in the petroleum industry. Overview of the industry with a detailed focus on certain aspects of the Successful Efforts the Full Cost Methods of accounting. Oil and gas reserves, the standardized measure, supplemental disclosures, and depreciation, depletion, and amortization of exploration and development costs. Financial statement presentation issues will be analyzed to gain an appreciation for the unique impact of generally accepted accounting principles in the petroleum industry.",
72,ACCT 421,Oil & Gas Accounting,3,0,3,1,Undergraduate,"Familiarize students with accounting practices in the Oil & Gas industry. Provide an overview of the industry with a detailed focus on certain aspects of the Successful Efforts and the Full Cost Methods of accounting. Petroleum accounting issues specific to the industry are also discussed. Topics covered include oil and gas reserves, the standardized measure, supplemental disclosures, and depreciation, depletion, and amortization of exploration and development costs. Financial statement presentation issues are analyzed to gain an appreciation for the unique impact of IFRS in the petroleum industry.",
73,ACCT 478,Senior Project II,0,6,3,1,Undergraduate,Execution and presentation of what have been formed and planned in ACCT 478.,
74,ACCT 494,Undergraduate Thesis I,0,0,3,1,Undergraduate,"This course is an independent research course for students undertaking the CX in undergraduate research. An undergraduate thesis is a substantive piece of research-oriented creative work demonstrating mastery over the discourse of one semester in professional field. A thesis requires students to formulate the main hypothesis and research questions, maintain research integrity and be aware of research misconducts, and acquire skills of identifying research gaps in literature. Students will develop their scientific writing skills to report their preliminary research findings in a research proposal. Such proposal must be",
75,AS 201,Financial Mathematics,3,0,3,23,Undergraduate,"Theory of compound interest and the mathematics of investment and credit. Measurement of interest, annuities certain (level, non-level, and continuous), amortization schedules, sinking funds, investment yield rates, and valuation of bonds and other securities. Methods of loan measurement and payments (Islamic and Conventional) are illustrated in amortization and sinking fund schedules. Islamic views on interest and investments.",
76,AS 250,Quantitative Financial Models for Actuaries,2,2,3,23,Undergraduate,Introductory Derivatives: Forwards and Futures. Options and Related Strategies. European put and call options. Put-call parity. Arbitrage opportunities. Rational valuation of derivative securities. Binomial tree and Black-Scholes Pricing Models. Actuarial Applications of Options Embedded in Insurance Products. Risk Management and Hedging. Introductory Stochastic differential equations. Ito's formula. Other SOA FM and IFM/MFE topics. Spreadsheet programming software.,
77,AS 251,Maths of Financial Derivatives,2,2,3,23,Undergraduate,,
78,AS 288,Actuarial Science Problem Lab I,0,1,1,23,Undergraduate,"This problem lab is designed to prepare Actuarial majors for the second Society of Actuaries and Casualty Actuarial Society Examinations, FM (Financial Mathematics).",
79,AS 289,Actuarial Science Problem Lab I,0,2,1,23,Undergraduate,"Preparation for the second Society of Actuaries and Casualty Actuarial Society professional examination, FM (Financial Mathematics). Society approved calculators. Review exam logistics and exam-taking strategies.",
80,AS 322,Numerical Methods for Actuaries,2,2,3,23,Undergraduate,"Computer arithmetic (Floating-point, error analysis), Matrices and linear equations, Numerical Integration and Differentiation, Interpolation, Smoothing, approximations, Computing probability functions, Solving nonlinear equations with application in maximum likelihood and nonlinear regression. Numerical programming language and database software use in Actuarial modeling, Monte Carlo simulation, and data analysis. Cannot be taken for credit with MATH 371 or CISE 301.",
81,AS 351,Cooperative Work,0,0,9,23,Undergraduate,A continuous period of 28 weeks of industrial employment for Actuarial Science and Financial Mathematics students to work in appropriate industries or firms. The student is evaluated on his job performance and is required to submit and present an extensive formal report on his work experience.,
82,AS 380,Actuarial Contingencies I,2,2,3,23,Undergraduate,"Introduction to life insurance mathematics based on a stochastic approach. Life insurance, annuities, benefit premiums, and net reserves. Parallel treatment of topics based on Takaful system.",
83,AS 381,Actuarial Contingencies I,3,0,3,23,Undergraduate,"Introduction to life insurance mathematics based on a stochastic approach. Life insurance, annuities, benefit premiums, and net reserves. Parallel treatment of topics based on Takaful system.",
84,AS 388,Actuarial Science Prob Lab II,0,1,1,23,Undergraduate,"This problem lab is designed to prepare Actuarial majors for the first Society of Actuaries (SOA) and Casualty Actuarial Society (CSA) Examinations, Exam P (Probability). Students are assumed to have taken the appropriate prerequisite courses prior to registering for this society exam preparation lab.",
85,AS 389,Actuarial Science Problem Lab II,0,2,1,23,Undergraduate,"Preparation for the first Society of Actuaries (SOA) and Casualty Actuarial Society (CSA) professional examination, Exam P (Probability). Society approved calculators. Review exam logistics and exam-taking strategies.",
86,AS 398,Internship,0,0,6,23,Undergraduate,,
87,AS 412,Senior Project II,0,6,3,23,Undergraduate,"This is the second part of a two-semester senior-year capstone project. Student teams employ knowledge gained from courses throughout the program to develop actuarial solutions to a real-world problem from conception to completion. In this part, students review and refine documents prepared in AS 411; finalize design, complete implementation of the application, test their code, and evaluate their final product.",
88,AS 450,Risk Modeling,2,2,3,23,Undergraduate,"Types of Risks faced by an organization; Risk Modelling, its evaluation and Analysis; Techniques used in quantifying financial and non-financial risks. Covers value at risk (VaR), extreme value theory (EVT), scenario and stress testing, risk aggregation techniques including use of correlation, integrated risk distributions and copulas. Approaches for managing risk.",
89,AS 460,Enterprise Risk Analysis,2,2,3,23,Undergraduate,"Enterprise risk management (ERM) framework and process. Importance of the of ERM function. Risk Management tools and techniques. Capital Management. Data Issues. Application of risk Analytics, from risk identification to treatment, on six actuarial fellowship fields: (1) Retirement Benefits, (2) Individual Life and Annuities, (3) Group and Health, (4) Investment, (5) General Insurance, and (6) General Corporate ERM.",
