id,name,description,department_id,offered_to
11,Cybersecurity and Blockchain,"This interdisciplinary program covers topics related to secure and trusted computing, including data and information assurance, identification of cyber assets and related security risks and threats, measurement of system resilience against cyber-attacks, and security policy compliance and governance. Students learn the fundamental pillars of computer security and data privacy and how they affect complex engineering systems (e.g. manufacturing plants). Topics include cryptology, access control models and mechanisms, intrusion detection systems, and integrity verification mechanisms. Students also learn the fundamentals of Blockchain technology, including record and hash replication, and types of blockchains (public, private, and hybrid), as well the applications in cryptocurrency and various other scientific, engineering, and business use cases.",25,"SWE, CS, COE"
12,Data Science and Analytics,"This interdisciplinary program focuses on the analysis and handling of data from multiple sources and for various applications in order to draw inferences from it, combining topics from mathematics, statistics, and computer science. These topics include probability theory, inference, least-square estimation, maximum likelihood estimation, finding local and global optimal solutions (gradient descent, genetic algorithms, etc.), and generalized additive models. It also covers machine learning topics such as classification, conditional probability estimation, clustering, and dimensionality reduction (e.g. discriminant factor and principal component analyses), and decision support systems. The program also covers big data analysis, including big data collection, preparation, preprocessing, warehousing, interactive visualization, analysis, scrubbing, mining, management, modeling, and tools such as Hadoop, Map-Reduce, Apache Spark, etc.",21,"Math, CS, ISE, COE, SWE"
13,Decision Analytics,"The interdisciplinary field of Decision Analytics (DA) seeks to understand and improve the judgment and decision making of individuals, groups, and organizations. Decision Analytics is grounded in theories and methods drawn from mathematics, probability and statistics, operations research, optimization, and artificial intelligence-based tools such as machine learning. The knowledge of this multidisciplinary area can be applied almost everywhere including government, manufacturing, design, health care, transportation, city planning, and business. The Industrial and Systems Engineering department proposes a concentration in DA with the aim to equip students with the knowledge and skills for scientific decision-making process. The concentration consists of four courses taught by the Industrial and Systems Engineering Department, Mathematics and Information and Computer Sciences. The courses are Decision Making, Intelligent Decision Support Systems, Applied Game Theory and Cases in Decision Analytics.",20,"ISE, CIE, CS, SWE. EE, ME, CHE"
14,Drone Design and Application,"This interdisciplinary program develops the design and build of fixed-wing and multi-rotor drones at several levels of autonomy, from remote-controlled to human-supervised, to fully autonomous. Topics include the physics of flight, fuselage design, rotor design, drone dynamics, performance and stability, control systems, guidance and navigation, mission payloads, ground control systems, and autonomous systems. Students conceive, design, fabricate (in 3D prototype), and apply drones. This program also covers drone swarms, regulations, security, AI, and machine learning, and touches on emerging anti-drone solutions. Applications of this field are universal and have become omnipresent in most industries. The program emphasizes the applications of drones in the new digital economy by highlighting case studies of the utilization of drones in industries such as like oil and gas, logistics, environment, security, etc.",17,"AE, ME, CIE, EE"
15,Electronic Defense Systems,"This interdisciplinary program focuses on technologies employed in military and civilian industries associated with radar, microwave, and optical systems. These technologies can be deployed in electronic defense and warfare systems as well as civilian applications, such as aviation, security, intrusion detection, etc. Topics include theoretical and practical aspects of radar, electro-optical (e.g. LIDAR), and microwave systems, and their applications in detection, tracking, and imaging. In addition to digital signal processing, students study radar systems (radar range equations, transmitters, antennas, receivers, pulse compression, radar ambiguity function, target detection in a noise background), microwave (microwave planar transmission lines, passive and active microstrip devices, microwave network analysis, and microwave integrated circuits), and electro-optical systems (photon-matter interaction, light sources and transmitters, optical detectors and receivers, waveguides and fibers, amplifiers, isolators, etc.).",16,"EE, PHYS, GEOP"
16,Energy Efficiency,"This interdisciplinary program covers sustainable energy-efficient practices and the most effective management of energy systems. The scale of application includes component-level, small system level (e.g. building), and large-scale level (e.g. entire cities, and interconnected systems). Students evaluate component and system energy efficiency and design efficient energy management programs, as well as learn energy auditing and reporting. Topics include the principles and application of energy conservation, loss inspection, instrumentation calibration, renewable and sustainable energy systems, building energy management, and smart monitoring of energy systems. Topics also include demand side management; efficiency of generation, transmission, and distribution systems; energy efficiency policies, standards, and regulations; and auditing of buildings, HVAC, and compressed air systems.",16,"EE, ME, ARE"
17,Enhanced Oil Recovery,"As an oil reservoir matures, external support is needed to enhance its performance. Enhanced Oil Recovery (EOR) methods involve pressure support, special chemicals, or heating the reservoir rock. With the approaching maturity of some Saudi Arabian oil fields, EOR techniques will prove valuable in sustaining high production rates and add vast quantities to the current oil reserves. This multi-disciplinary sequence of courses provides the student with the necessary background to understand the chemical and physical bases of the most common EOR techniques and their selection criteria. Upon completion, the student will be able to design an EOR project including injected fluid volumes, operating conditions, and recovery forecasts. With such training, the student can provide valuable contribution to a team of experts working in this area.",15,PETE
18,Human Resources Management,"This program provides comprehensive knowledge and practical skills in Human Resource Management (HRM), enabling the development and implementation of effective, legally compliant HR practices in modern organizations. The program focuses on the four key areas of HRM: staffing (strategic planning, sourcing, recruitment, selection, job analysis, etc.), compensation (compensaton strategy, job evaluation techniques, pay levels determination, labor markets, pay mix decision, short-term incentives, long-term incetives. benefits, executive compensation, etc.), training and development (learning styles, needs analysis, training design, training transfer, training evaluation, etc.), and performance management (process, appraisal systems and techniques, measurement approaches, performance analytics, team performance management, performance measurements, performance and development leadership, etc.). Practical examples and cases are discussed throughout the program.",19,"MGT, ISOM, FIN, ACCT, MIS, IM, MKT"
19,Hydrogen Mobility,"This interdisciplinary concentration covers all components of the hydrogen supply chain network from production to use as a clean fuel for transportation. This includes hydrogen generation using solar or wind powered water electrolysis, biomass gasification, natural gas steam reforming and heavy oil residue catalytic partial oxidation. It also covers physical methods of hydrogen storage, such as fuel cells, batteries and super capacitors, and at compressed, liquefied and cryo-compressed conditions as well as material-based methods, including metal hydrides, liquid organic carriers, and adsorbents. The application of hydrogen in fuel cell electric vehicles and internal combustion engines is covered extensively from a technical (design), economic, and environmental point of view. The concentration also covers large-scale hydrogen storage and its interaction with power infrastructure.",27,"ME, CHE"
20,IC Design and Fabrication,"This interdisciplinary concentration combines the complementary fields of Electrical Engineering, Computer Engineering and Physics, to lay the foundation for students to contribute to the development of Saudi Arabia's emerging semiconductor sector. The Kingdom's efforts to diversify its economy have made it possible to take the initial steps towards the establishment of this sector, which intends to support the growing technological demand in key industries such as electric vehicles, IoT, smart cities and buildings, healthcare modernization, and the development of integrated circuits (ICs) for AI applications. Students who complete this concentration will have the foundational knowledge and practical skills necessary to perform vital roles in the design, verification, fabrication, testing, and innovation of Integrated Circuits (ICs) for the aforementioned industries.",16,"EE, PHYS, COE, CIE, MSE"
21,Innovation by Design (New),"This concentration will equip students with skills and knowledge needed to create innovative products, services, and product service systems. Students will learn to combine skills in creative problem solving, user research, optimization, and human-centered design process to deliver innovative solutions. Through several hands-on projects, students will develop a deep understanding of the design process, from concept generation to testing and refinement. By integrating engineering principles with design methodologies, this concentration prepares students to lead the development of cutting-edge products and solutions that address real world problems in an environmentally responsible manner.",30,"AE, CIE, EE, ME, PHYS"
22,Intelligent Energy Systems Management,"The digital revolution taking place in the energy and utility sectors is known as Energy 4.0, which involves the internet of things, big data, cloud computing, machine learning, and data analytics, automation, interconnectivity, etc. Therefore, modern energy systems management should exploit a large volume of data acquired from various measurement devices for extensive monitoring and control of the systems to achieve efficiency and sustainability goals in the energy sector. The knowledge of the mentioned technologies helps develop intelligent energy ecosystems for buildings, factories, and smart grids with the incorporation of distributed energy resources.",30,"ME, EE, AE, CIE"
23,Internet of Things,"This interdisciplinary program covers smart applications built using smart systems capable of sensing, actuation, computing, and communication. In this concentration, students learn how to use smart systems to develop fascinating applications such as those used in smart homes, smart cities, intelligent transportation systems, and more. Topics covered include IoT applications, embedded systems and sensing, IoT communication protocols, Industrial Internet of Things (IIoT), cloud and edge computing, big data analytics, and IoT security. Students are introduced to embedded systems programming and interfacing. Students also learn how to connect smart things to each other, as well as to the cloud. Through learning big data analytics, students can use advanced analytics and machine learning to process sensor data and build innovative applications. Students are also exposed to how IIoT is used in industrial applications using state-of-the-art use cases.",24,"EE, CS, COE, CIE, SWE"
24,Laser & Microwave Sensing,"Electromagnetic radiation has a lot of applications in vast range of fields. In this concentration, the focus is on the demand of local stakeholders, who are essential pillars of VISION2030. Furthermore, we focus on specific utilization theme that can be used in many fields. The concentration is designed to have a balance between foundations and applications in a way that covers wide applications' spectrum, but maintains common background.",16,"EE, PHYS, GEOP"
25,Mechatronics (NEW),"This interdisciplinary program prepares students to understand technologies encompassing sensors, actuators, microcontrollers, and signal conditioning hardware and relevant software. Students learn how to build working mechatronics systems. With the increasing needs to Industry 4.0 & beyond tools, including Internet of Things (IoT) implementations, robotic wide usage, and the establishment of smart cities, understanding mechatronics becomes a necessary skill of the future engineer. As Saudi Arabia is actively working on realizing the 2030 vision, adopting several AI based tools ranging from health care to hajj management, transforming many industries to be autonomously automated, and implementing an electronic government system, graduates equipped with the ""sense-think-act"" scheme of thinking are becoming vitally needed.",30,"ME, COE, EE, AE"
26,Mining Geoscience (NEW),"This program equips students with a strong scientific foundation to understand how economic mineral deposits form, where they occur, and how they are valued, with a particular emphasis on deposits in Saudi Arabia and the broader Middle East. Students will explore the ore formation processes in both magmatic and hydrothermal systems, gaining insight into a wide spectrum of deposit types, including base, precious, and critical metals. The curriculum combines theoretical knowledge with practical skills, introducing modern geophysical and geological exploration methods, field and laboratory techniques, mineral identification and associations, ore evaluation, and the use of artificial intelligence in deposit modeling. In addition, the program emphasizes sustainable mining practices, addressing environmental, social, and economic dimensions. Students will also examine mining policies, regulations, and legislation at local, national, and international levels, preparing them for the multifaceted challenges of the modern mining industry.",12,"GEOL , GEOP, MNSE, PETE"
27,Non-Metallic Materials,"This interdisciplinary program covers the science, engineering, and industrial applications of non-metallic materials including polymers and ceramics. Topics include the chemical structure, synthesis, characterization, and processing of the non-metallic materials. Industrial applications cover, but are not limited to, piping in the oil and gas industry, membranes for purification and separation processes, coatings for corrosion prevention, and others. Four courses are required for this program each with 3 semester hours A pre-requisite for this program is a basic course in materials science and engineering.",27,"CHE, CHEM, CE, ME"
28,Nuclear Power Engineering,"This interdisciplinary program prepares students to manage and operate nuclear power plants. Topics include materials in nuclear power plants, nuclear plant operations, plant safety, fuel separation and purification, reactor products, nuclear fuel cycle, management of nuclear technology, radiation physics and protection, control rods, coolants, thermal power transfer, neutron poisoning, nuclear accelerators, and spent fuel. Students also learn energy systems design and analysis in general, and the design of nuclear systems in particular. Nuclear engineering background is dearly needed, especially as the Kingdom has announced plans to introduce nuclear power technology with the first two reactors are currently under site qualification stage. While these plants will be based on foreign technology and built by a consortium of international companies, long-term sustainability of this program, including governance and plant operation, will depend crucially on the development of an indigenous workforce possessing adequate knowledge of the science and technology of nuclear power plants.",30,"ME, CHE"
29,Polymer Science & Technology,"Polymers are used across a wide range of industries, including consumer products, textiles, electronics, energy, building and construction, health care, and aerospace. Polymers are also central to emerging industries including additive manufacturing, organic electronics, and renewable energy. The proposed multidisciplinary concentration of study covers science and engineering aspects of polymers. It will provide the students with the required knowledge to design synthetic polymers of desired properties to suit target applications. Also, students learn the important techniques for characterizing and processing polymers. Students are exposed to topics such as different methods of polymer synthesis, a wide spectrum of characterization techniques for studying the structures and physical properties of polymers, and processing of polymeric materials. This concentration of study is designed to promote a multidisciplinary and interdisciplinary learning process which involves intersections of chemistry with chemical and mechanical engineering disciplines.",28,"CHEM, CHE, ME"
30,Process Safety,"This interdisciplinary program aims to produce students with the fundamental knowledge and skills necessary to be qualified safety engineers. Graduates of this program learn the principles of process safety and hazard analysis, mitigation, and prevention, with special emphasis on the chemical process industries. Topics include source modeling for leakage rates, dispersion analysis, relief valve sizing, fire and explosion damage analysis, hazards identification, risk analysis, accident investigation, occupational safety, safety administration, the legal aspect of industrial safety, hazardous waste management and treatment, including regulations, environmental audits, and pollution prevention. Students also learn the assessment and management of risk, uncertainty, and reliability, including quantitative risk assessment, and understanding the link between safety and human factors.",27,"ISE, EE, ME, CHEM, CHE, CE"
31,Quantum Information & Computing,"This interdisciplinary program covers an emerging discipline in computing and sensing that utilizes quantum theory. Students learn the fundamentals of quantum physics and how to apply its basic principles in real world technologies to solve the future challenges in the field of computing, communication, and sensing. The program covers the concepts of superposition, entanglement, quantum gates, and quantum algorithms in order to understand the difference between classical and quantum-computing in the fields of artificial intelligence, and cryptography. It also covers applications of quantum sensing in areas such as radar, lidar, photo-detection, magnetometry, and gravimetry. Students learn how to design, simulate, and test the core parts of a superconducting Qubit.",24,"COE, ICS, Phys, EE"
32,Refining and Petrochemicals,"The concentration covers major components of the downstream oil & gas industries and their further conversion to petrochemicals. Starting with crude oil treatments and moving through major oil & gas refining processes and their dependence on different feedstock's. Petrochemical building blocks and their derivatives including, basic, intermediate and final products are introduced with emphasis on those produced in Saudi Arabia. Tools for analyzing and evaluating the economical and environmental impacts of the downstream industry is discussed as well as the challenges in the integration of refining and petrochemicals.",27,CHE
33,Renewable Energy and Energy Storage,"This interdisciplinary program covers various renewable energy technologies, including solar (photovoltaic and concentrated solar power), wind, and geothermal, as well as energy storage options such as electrical (e.g. battery) and thermal storage, and waste-to-energy systems. Students understand the components of renewable energy systems, evaluate the potential (technical, economic, and environmental) of renewable energy at specific sites, design and assess the performance of renewable systems, study the integration of renewable energy systems with energy storage systems and with conventional energy systems. The program also covers renewable energy project management, grid integration of renewables, smart grids, net-zero buildings, and touches on renewable energy policy and environmental law.",27,"ME, CHE"
34,Research Concentration,"Concentrations have become a common concept at KFUPM, in which a student specializes in a certain multidisciplinary topic. By now, the University has over 45 concentrations in various interesting and exciting fields. In this particular concentration, the focus is on research. The student will take a total of four courses in the Junior and Senior years, for a total of 12 credit hours over the course of two or more semesters. These hours are counted towards the degree plan. Two of the courses will constitute the undergraduate thesis, whilst another course will be on innovation and entrepreneurship, and the fourth can be an elective undergraduate or graduate course in the area of focus of the student. In this concentration, the student is expected to devise a problem and spend the duration of the program in developing research in this area, and to bring it to a fruitful conclusion. Part of the assessment of the undergraduate thesis is that it is accepted for publication in an actual journal outside of KFUPM or in KFUPM's *Journal of Undergraduate Research or international.*",0,Junior and Senior Students
35,Resilient Marine Infrastructures (NEW),"Durability of structures, particularly the ones exposed to marine environments, has gained significant attention among the researchers and experts in civil engineering. Corrosion of steel structural elements and degradation of concrete and related construction materials, require expensive repairs and efficiency losses. It is, therefore, critical to understand the damage mechanism and develop methods for construction of durable marine structures. This concentration seeks to equip final year students with tools that are necessary for ensuring the durable design, construction, evaluation, and repair of marine structures.",8,"CE, ME, ARE, PETE, CHE"
36,Robotics and Autonomous Systems,"This interdisciplinary program covers subjects related to mechatronics, robotics, and UAVs (drones). Students develop the skills required to understand, design, and implement smart systems and robots to solve engineering problems. Topics include the fundamentals of autonyms systems, including sensing, reasoning, and acting, in addition to robotics-specific topics, such as power sources, machine vision, actuation (e.g. linear actuators and electric motors), manipulation, locomotion (walking, rolling, climbing, etc.), environmental navigation, and human-robot interaction (including speech recognition and gestures). Applications are wide-ranging, and include industrial robots, as well as those used in the military, construction, agriculture, and in medical fields.",18,"CIE, COE, AE, ISE, EE"
37,Smart and Sustainable Buildings,"In contrast to Smart Cities program, which focus on city-scale systems, this interdisciplinary program focuses on Smart and Sustainable Buildings (SSBs) and their indoor environments. It covers topics that stem from the use of smart and responsive building materials and devices, intelligent automation (e.g., AI, IoT, etc.), innovative renewable energy applications, and efficient building systems. Students are introduced to communication, automation technology, and processes to control and connect SSB systems and occupants to the building environment. Students will be able to engage in the automation of building services and to design, integrate, and implement alternative smart digital solutions to the operation and management of SSBs, including AI-based and Cloud-based applications.",6,"ARE, ARC, CE, SSC"
38,Supply Chain Management,"This interdisciplinary program covers the systematic and strategic coordination management for supplying goods and services required by the end customer, which is essential to both customer satisfaction and operational efficiency. Topics include supply chain strategies, drivers, transportation, sourcing, distribution networks, global networks, sustainability, and procurement (supplier management purchasing, policies, procedures, global sourcing, cost management, negotiation, etc.). Other topics cover logistics, including lean systems, market distribution, manufacturing, production forecasting, inventory control, optimization, warehouse management, deterministic and stochastic inventory systems, capacity planning, and material requirement planning. Students are equipped with the skills to manage and run effective and efficient supply businesses chains.",4,"MGT, MKT, FIN, ACCT, MIS"
39,Sustainability in Petroleum Industry (NEW),"The Sustainability in E&P Industry is a program designed to empower and inject skills that allow graduates to successfully play a leading role in the local and international sustainable energy domain in E&P Industry. The focus area is well grounded to deal with any matters pertaining to global energy issues, renewable and non-renewable energy, sustainable energy technologies, the environment as a whole and policies affecting the environment and energy use. The program is a unique blend of academic excellence as well as industrial expertise geared at producing graduates who are the embodiment of intelligence in addressing the sustainable energy field in the E&P Industry. The program targets senior year students in petroleum engineering and geosciences as well as environmental discipline. Students enrolled in this concentration will augment their primary Engineering and Science skillsets.",15,"PETE, GEOL , GEOP"
40,Thermal Systems,"This multidisciplinary concentration aims to prepare engineers and scientists for employment in the current and future thermal systems in power plants (conventional and nuclear), oil & gas, refrigeration & air-conditioning, thermal desalination plants, and the Kingdom's manufacturing industries. These industries' current and future challenges include increasing the plants' availability and sustainability. This multidisciplinary concentration focuses on deepening the students' knowledge of the available thermal systems (i.e., power-producing and power-consuming systems that comprise heat exchangers, pumps, and piping systems), focusing on choosing components and thermal systems with enhanced performance and environmental integrity. It will be accomplished by introducing students to emerging design tools, performance evaluation, and maintenance of such components and strategies to improve life expectancy and performance.",30,"ME, CHE"
41,Traffic Engineering,"This interdisciplinary program provides the students with the required knowledge to develop technologies to ground transportation to improve safety, mobility, and efficiency. Students are exposed to topics such as traffic engineering, Intelligent Transportation Systems (ITS), Geographic information systems (GISs), Geometric Design of Highways. The concentration aims to equip students with the skills to manage and run an efficient and safe highway network.",8,"CE, SE"
42,Unconventional Hydrocarbon Resources,"This program is multidisciplinary, aiming to equip the students with the necessary skills to understand and develop unconventional hydrocarbon resources. Advancement in technologies, including horizontal drilling and multistage hydraulic fracturing, made it possible to extract these resources with commercial quantities. The Kingdoms goal of increasing gas production depends heavily on developing these resources using the state-of-the-art technologies. Students choosing this concentration will acquire the necessary background to identify and characterize unconventional resources using geological and petrophysical tools. They will learn the flow behavior of unconventional gas and oil resources at the nanoscale level, including gas adsorption and diffusion mechanisms. They will also be able to design recovery strategies, including fracture jobs and artificial lift methods, and assess their performance. The students should be able to evaluate the production potential, decline curves, and economic value of these resources.",15,PETE
43,Waste Management,"There are several contemporary issues faced by the Kingdom of Saudi Arabia, requiring an immediate attention and solution. One such challenging issue is waste management. With a constant rapid growth in both local population and number of industries, the problem of adequate municipal wastewater, municipal solid waste, and industrial hazardous waste management and air pollution, is becoming more challenging. This concentration addresses solving the concerned waste management issues. The core content of respective courses focuses on addressing the respective environmental issues along with engineering design for pollution control. The course on wastewater treatment offers an extensive insight into several operations and processes that can be used not only to treat wastewater, but also aim at possible water re-use applications. The other core courses also aim to protect the environment and reduce pollution.",8,"CE, CHE, ME, CHEM, PETE, ARE, ISE"
